entity_id;trophic_class;species_id;pos_x;pos_y;pos_z;symmetry;intelligence_level;is_sessile;has_variable_form;adult;photo_cell_count;non_photo_cell_count;grown_cell_count;alive_body_part_count;energy;in_sunlight;reproduced;reproductions;predations;hunger;dopamine;target_distance;movement_speed;movement_dir_x;movement_dir_y;movement_dir_z;velocity_x;velocity_y;velocity_z;is_climbing;climb_energy_debt;cached_bounding_radius;dna_sigma;dna_k_eat;dna_k_repro;dna_lambda_energy;dna_k_curiosity;dna_k_progress;dna_intel_level;dna_is_carnivore;dna_is_photo;dna_symmetry;dna_has_variable_form;dna_is_sessile;dna_cell_count_norm;dna_photo_cell_ratio;dna_body_extent_x;dna_body_extent_y;dna_body_extent_z;dna_body_radius;dna_body_compactness
199;Herbivore;2;1756.059082;638.550659;2029.129517;Bilateral;Level1;0;0;1;0;14;14;1;135.155197;1;0;0;12;0.248379;0.681383;13.368146;31.530502;0.995100;0.000000;0.098869;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
201;Herbivore;2;1259.121948;230.542389;728.505371;Bilateral;Level1;0;0;1;0;14;14;1;22.146744;1;0;0;0;0.910597;0.000000;41.468025;26.762081;-0.598592;0.000000;-0.801054;0.000000;-7.091236;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
203;Herbivore;2;1414.445435;589.717224;1775.923584;Bilateral;Level1;0;0;1;0;14;14;1;130.331421;1;0;0;16;0.262542;0.178531;45.598858;5.039701;0.739679;0.000000;0.672960;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
205;Herbivore;2;762.871033;341.909515;1223.379395;Bilateral;Level1;0;0;1;0;14;14;1;135.928848;1;0;0;2;0.246180;0.640181;12.205407;25.008097;0.850734;0.000000;-0.525596;0.000000;-1.802991;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
207;Herbivore;2;92.787537;571.908508;1040.731934;Bilateral;Level1;0;0;1;0;14;14;1;120.647003;1;0;0;7;0.293460;0.000000;15.040808;14.211096;-0.769346;0.000000;-0.638832;0.000000;-2.842118;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
209;Herbivore;2;1420.515259;426.101715;267.360046;Bilateral;Level1;0;0;1;0;14;14;1;124.795273;1;0;0;8;0.279794;0.000000;42.218410;17.920927;-0.181783;0.000000;0.983339;0.000000;-11.590658;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
211;Herbivore;2;734.068665;695.577820;1510.914062;Bilateral;Level1;0;0;1;0;14;14;1;107.130753;1;0;0;4;0.342793;0.000000;27.686720;22.811859;-0.818712;0.000000;-0.574205;0.000000;-0.141127;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
213;Herbivore;2;1470.587280;440.800568;237.347153;Bilateral;Level1;0;0;1;0;14;14;1;136.031540;1;0;0;5;0.245890;0.306667;15.351291;15.331572;-0.990615;0.000000;-0.136681;0.000000;-0.304634;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
215;Herbivore;2;1306.098633;422.708069;338.740601;Bilateral;Level1;0;0;1;0;14;14;1;31.847488;1;0;0;0;0.814505;0.000000;21.465298;16.141699;0.100250;0.000000;-0.994962;0.000000;-1.802991;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
217;Herbivore;2;1884.715210;484.906708;734.447632;Bilateral;Level1;0;0;1;0;14;14;1;134.402802;1;0;0;6;0.250537;0.476585;9.028683;22.475098;-0.335682;0.000000;0.941975;0.000000;-12.088426;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
